local_id,provider,remote_id,concept,label,language,semantic_category,source_url,image_url,local_raw_path,local_normalized_path,local_category_path,file_format,license,author,attribution,download_date,last_checked,status
picto_000075,arasaac,9016,perro guía,Perro guía,es,comunicacion_basica,https://arasaac.org,https://api.arasaac.org/api/pictograms/9016?download=false,pictograms/arasaac/raw/perro_guia__arasaac__9016.png,pictograms/arasaac/normalized/perro_guia__arasaac__9016.png,pictograms/arasaac/by_category/comunicacion_basica/perro_guia__arasaac__9016.png,png,CC BY-NC-SA,Sergio Palao,Gobierno de Aragón / Sergio Palao / ARASAAC,2026-06-18T21:09:09.527Z,2026-06-18T22:46:26.433Z,active
picto_000076,arasaac,38701,lengua de señas,Lengua de señas,es,comunicacion_basica,https://arasaac.org,https://api.arasaac.org/api/pictograms/38701?download=false,pictograms/arasaac/raw/lengua_de_senas__arasaac__38701.png,pictograms/arasaac/normalized/lengua_de_senas__arasaac__38701.png,pictograms/arasaac/by_category/comunicacion_basica/lengua_de_senas__arasaac__38701.png,png,CC BY-NC-SA,Sergio Palao,Gobierno de Aragón / Sergio Palao / ARASAAC,2026-06-18T21:09:09.956Z,2026-06-18T22:46:26.435Z,active
picto_000077,arasaac,24619,intérprete,Intérprete,es,comunicacion_basica,https://arasaac.org,https://api.arasaac.org/api/pictograms/24619?download=false,pictograms/arasaac/raw/interprete__arasaac__24619.png,pictograms/arasaac/normalized/interprete__arasaac__24619.png,pictograms/arasaac/by_category/comunicacion_basica/interprete__arasaac__24619.png,png,CC BY-NC-SA,Sergio Palao,Gobierno de Aragón / Sergio Palao / ARASAAC,2026-06-18T21:09:10.596Z,2026-06-18T22:46:26.437Z,active
picto_000078,arasaac,12252,apoyo,Apoyo,es,comunicacion_basica,https://arasaac.org,https://api.arasaac.org/api/pictograms/12252?download=false,pictograms/arasaac/raw/apoyo__arasaac__12252.png,pictograms/arasaac/normalized/apoyo__arasaac__12252.png,pictograms/arasaac/by_category/comunicacion_basica/apoyo__arasaac__12252.png,png,CC BY-NC-SA,Sergio Palao,Gobierno de Aragón / Sergio Palao / ARASAAC,2026-06-18T21:09:11.045Z,2026-06-18T22:46:26.439Z,active
picto_000079,arasaac,36870,acompañante,Acompañante,es,comunicacion_basica,https://arasaac.org,https://api.arasaac.org/api/pictograms/36870?download=false,pictograms/arasaac/raw/acompanante__arasaac__36870.png,pictograms/arasaac/normalized/acompanante__arasaac__36870.png,pictograms/arasaac/by_category/comunicacion_basica/acompanante__arasaac__36870.png,png,CC BY-NC-SA,Sergio Palao,Gobierno de Aragón / Sergio Palao / ARASAAC,2026-06-18T21:09:11.666Z,2026-06-18T22:46:26.441Z,active
picto_000080,arasaac,23394,lectura fácil,Lectura fácil,es,comunicacion_basica,https://arasaac.org,https://api.arasaac.org/api/pictograms/23394?download=false,pictograms/arasaac/raw/lectura_facil__arasaac__23394.png,pictograms/arasaac/normalized/lectura_facil__arasaac__23394.png,pictograms/arasaac/by_category/comunicacion_basica/lectura_facil__arasaac__23394.png,png,CC BY-NC-SA,Sergio Palao,Gobierno de Aragón / Sergio Palao / ARASAAC,2026-06-18T21:09:12.102Z,2026-06-18T22:46:26.443Z,active
picto_000081,arasaac,22799,rampa,Rampa,es,comunicacion_basica,https://arasaac.org,https://api.arasaac.org/api/pictograms/22799?download=false,pictograms/arasaac/raw/rampa__arasaac__22799.png,pictograms/arasaac/normalized/rampa__arasaac__22799.png,pictograms/arasaac/by_category/comunicacion_basica/rampa__arasaac__22799.png,png,CC BY-NC-SA,Sergio Palao,Gobierno de Aragón / Sergio Palao / ARASAAC,2026-06-18T21:09:12.568Z,2026-06-18T22:46:26.446Z,active
picto_000082,arasaac,36528,elevador,Elevador,es,comunicacion_basica,https://arasaac.org,https://api.arasaac.org/api/pictograms/36528?download=false,pictograms/arasaac/raw/elevador__arasaac__36528.png,pictograms/arasaac/normalized/elevador__arasaac__36528.png,pictograms/arasaac/by_category/comunicacion_basica/elevador__arasaac__36528.png,png,CC BY-NC-SA,Sergio Palao,Gobierno de Aragón / Sergio Palao / ARASAAC,2026-06-18T21:09:13.172Z,2026-06-18T22:46:26.448Z,active
picto_000083,arasaac,27541,baño accesible,Baño accesible,es,comunicacion_basica,https://arasaac.org,https://api.arasaac.org/api/pictograms/27541?download=false,pictograms/arasaac/raw/bano_accesible__arasaac__27541.png,pictograms/arasaac/normalized/bano_accesible__arasaac__27541.png,pictograms/arasaac/by_category/comunicacion_basica/bano_accesible__arasaac__27541.png,png,CC BY-NC-SA,Sergio Palao,Gobierno de Aragón / Sergio Palao / ARASAAC,2026-06-18T21:09:13.789Z,2026-06-18T22:46:26.450Z,active
picto_000084,arasaac,5912,audífono,Audífono,es,comunicacion_basica,https://arasaac.org,https://api.arasaac.org/api/pictograms/5912?download=false,pictograms/arasaac/raw/audifono__arasaac__5912.png,pictograms/arasaac/normalized/audifono__arasaac__5912.png,pictograms/arasaac/by_category/comunicacion_basica/audifono__arasaac__5912.png,png,CC BY-NC-SA,Sergio Palao,Gobierno de Aragón / Sergio Palao / ARASAAC,2026-06-18T21:09:14.403Z,2026-06-18T22:46:26.452Z,active
picto_000085,arasaac,28091,subtítulos,Subtítulos,es,comunicacion_basica,https://arasaac.org,https://api.arasaac.org/api/pictograms/28091?download=false,pictograms/arasaac/raw/subtitulos__arasaac__28091.png,pictograms/arasaac/normalized/subtitulos__arasaac__28091.png,pictograms/arasaac/by_category/comunicacion_basica/subtitulos__arasaac__28091.png,png,CC BY-NC-SA,Sergio Palao,Gobierno de Aragón / Sergio Palao / ARASAAC,2026-06-18T21:09:14.988Z,2026-06-18T22:46:26.455Z,active
picto_000086,arasaac,9870,comunicación,Comunicación,es,comunicacion_basica,https://arasaac.org,https://api.arasaac.org/api/pictograms/9870?download=false,pictograms/arasaac/raw/comunicacion__arasaac__9870.png,pictograms/arasaac/normalized/comunicacion__arasaac__9870.png,pictograms/arasaac/by_category/comunicacion_basica/comunicacion__arasaac__9870.png,png,CC BY-NC-SA,Sergio Palao,Gobierno de Aragón / Sergio Palao / ARASAAC,2026-06-18T21:09:15.913Z,2026-06-18T22:46:26.457Z,active
picto_000087,arasaac,38827,ayuda técnica,Ayuda técnica,es,comunicacion_basica,https://arasaac.org,https://api.arasaac.org/api/pictograms/38827?download=false,pictograms/arasaac/raw/ayuda_tecnica__arasaac__38827.png,pictograms/arasaac/normalized/ayuda_tecnica__arasaac__38827.png,pictograms/arasaac/by_category/comunicacion_basica/ayuda_tecnica__arasaac__38827.png,png,CC BY-NC-SA,Sergio Palao,Gobierno de Aragón / Sergio Palao / ARASAAC,2026-06-18T21:09:16.503Z,2026-06-18T22:46:26.459Z,active
picto_000088,arasaac,15020,ajuste razonable,Ajuste razonable,es,comunicacion_basica,https://arasaac.org,https://api.arasaac.org/api/pictograms/15020?download=false,pictograms/arasaac/raw/ajuste_razonable__arasaac__15020.png,pictograms/arasaac/normalized/ajuste_razonable__arasaac__15020.png,pictograms/arasaac/by_category/comunicacion_basica/ajuste_razonable__arasaac__15020.png,png,CC BY-NC-SA,Sergio Palao,Gobierno de Aragón / Sergio Palao / ARASAAC,2026-06-18T21:09:16.959Z,2026-06-18T22:46:26.461Z,active
